Variable_Name,Name_Length,Code_Display,Code length,Code_Query,Variable_Order,Variable_Key,Description,Unit_or_type,Data_type,Data_length,Dataset,Subset,Group,SubGroup,Set_group_order,Hash_calc,Version_or_questions,Display_Label,Code_synon,MinVal,MaxVal,DSSAT_var,ICASA_standard,AgMIP_data_entry,AgMIP_rating,DSSAT_rating,APSIM_rating,CYCLES
Exp_id,6,EID,,EID,0,,id,,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
treatment_ID,12,TREAT_ID,8,TREAT_ID,1,1,"Treatment identifier, unique internal ID",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,TN,,,,1,-2,0,,,
experiment_ID,13,EXPER_ID,8,EXPER_ID,2,1,"Experiment database key, links to ED table",text,text,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
treatment_number,16,TRTNO,5,TRTNO,3,,Treatment number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,TN,,,,1,,0,,,
replicate_number,16,RP,2,RP,4,,Replicate number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,.,,,,1,,0,,,
sequence_number,15,SQ,2,SQ,5,,Sequence number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,1,,.,R,,,,1,,0,,,
option_for_crop_in_seq,22,OP,2,OP,6,,Option for crop in sequence,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,O,,,,1,-2,0,,,
crop_component_number,21,CO,2,CO,7,,Crop component number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,C,,,,1,-2,0,,,
treatment_name,14,TRT_NAME,8,TRT_NAME,8,,Treatment name,text,text,31,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,TNAME TNAM,,,,1,,0,,,
genotype_level_number,21,GE,2,GE,9,,Genotype level number,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
genotype_level_id,17,GE_id,5,GE_id,10,,Genotype level database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
field_level,11,FL,2,FL,11,,Field level identifier,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
field_level,11,FL_id,5,FL_id,12,,Field level database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
soil_analysis_level,19,SA,2,SA,13,,"Soil analysis, treatment level identifier",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
soil_analysis_level,19,SA_id,5,SA_id,14,,"Soil analysis, database key",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,-2,0,,,
initial_conditions_level,24,IC,2,IC,15,,Initial conditions level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MI,,,,1,-2,0,,,
initial_conditions_level,24,IC_id,5,IC_id,16,,Initial conditions database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MI,,,,1,-2,0,,,
planting_level,14,PL,2,PL,17,,"Planting, level in treatment structure",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MP,,,,1,-2,0,,,
planting_level,14,PL_id,5,PL_id,18,,"Planting, database key for treatments",number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MP,,,,1,-2,0,,,
irrigation_level,16,IR,2,IR,19,,Irrigation level in treatment structure,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
irrigation_level,16,IR_id,5,IR_id,20,,Irrigation level database key for treatments,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
fertilizer_level,16,FE,2,FE,21,,Fertilizer level in treatment structure,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MF,,,,1,-2,0,,,
fertilizer_level,16,FE_id,5,FE_id,22,,Fertilizer level database key for treatments,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MF,,,,1,-2,0,,,
org_materials_applic_lev,24,OM,2,OM,23,,Organic materials application level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MR,,,,1,-2,0,,,
org_materials_applic_lev,24,OM_id,5,OM_id,24,,Organic materials database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MR,,,,1,-2,0,,,
chemical_applic_level,21,CH,2,CH,25,,Chemicals application level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MC,,,,1,-2,0,,,
chemical_applic_level,21,CH_id,5,CH_id,26,,Chemicals application database key,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,MC,,,,1,-2,0,,,
tillage_level,13,TI,2,TI,27,,Tillage operation level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
tillage_level,13,TI_id,5,TI_id,28,,Tillage operation level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,,1,-2,0,,,
environmental_modif_lev,23,EM,2,EM,29,,Environmental modifications level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,ME,,,,1,-2,0,,,
environmental_modif_lev,23,EM_id,5,EM_id,30,,Environmental modifications database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,ME,,,,1,-2,0,,,
harvest_operations_level,24,HA,2,HA,31,,Harvest operations level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,,,,,1,-2,0,,,
harvest_operations_level,24,HA_id,5,HA_id,32,,Harvest operations database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,,,,,1,-2,0,,,
simulation_control_level,24,SM,2,SM,35,,Simulation control level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,D,1,-2,0,,,
simulation_control_level,24,SM_id,5,SM_id,36,,Simulation control database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,.,.,,,D,1,-2,0,,,
mulch_level,11,ML,2,ML,33,,Mulch treatment level,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,Vers 1.1,,,,,,1,-2,0,,,
mulch_level,11,ML_id,5,ML_id,34,,Mulch treatment database key for treatment levels,number,single,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,Vers 1.1,,,,,,1,-2,0,,,
treatment_comments,18,TR_NOTES,8,TR_NOTES,37,,"Treatment, extended comments on treatments",text,memo,,EXPERIMENT,MANAGEMENT,TREATMENTS,,2011,0,,,,,,,1,,0,,,
id,,id,,id,0,1,id,,single,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,,,,,,,1,-2,0,,,
cultivar_level,14,GE,2,GE,1,,"Genotype level, as listed in Treatments table under GE",number,single,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,,.,.,,,,1,1,0,,,
crop_ident_ICASA,16,CRID,4,CRID,3,,Crop (or weed) species identifier,code,text,3,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,1,,,,,,,1,,2,2,,
cultivar_identifier,19,CUL_ID,6,CUL_ID,4,,"Cultivar, line or genotype identifier",code,text,6,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,1,,,,,,,1,,1,1,,
relative_maturity,17,RM,2,RM,5,,Relative maturity,days,single,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,1,,,,,,,1,,0,,,
cultivar_name,13,CUL_NAME,8,CUL_NAME,6,,Cultivar name,text,text,40,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,,.,CNAME,,,,1,,2,2,,
cultivar_notes,14,CUL_NOTES,9,CUL_NOTES,19,,Cultivar notes,text,text,40,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,,.,CNOTES,,,,1,,0,,,
cultivar_name_orig,18,CUL_ORIG,8,CUL_ORIG,7,,Cultivar name as given in original (source) data,text,text,40,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
cultivar_synonym,16,CUL_SYN,7,CUL_SYN,8,,,,,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
cultivar_class,14,CUL_CL,6,CUL_CL,9,,"Description according to commonly used scales (e.g., “hard red spring wheat”)",text,text,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
cultivar_seed_weight,20,CUL_SEED_WT,11,CUL_SEED_WT,10,,Characteristic weight of a single representative seed,mg,single,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
cultivar_release_year,,CUL_YEAR,,CUL_YEAR,11,,Year the cultivar was released,,,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
breeding_program,,BREED_PRG,,BREED_PRG,12,,The program/company that developed the cultivar,number,single,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
accession_id,,ACCES_ID,,ACCES_ID,13,,USDA Plant accession number of similar collection identifier,text,text,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
accession_location,,ACCES_LOC,,ACCES_LOC,14,,Name of institution or collection that provided accession id (e.g. USDA),text,text,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
pedigree,,PEDIGREE,,PEDIGREE,15,,Immediate parents in Purdey notation or similar notation,text,text,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,JWW,,,,,,3,,0,,,
cultivar_ref,,CUL_REF,,CUL_REF,16,,DOI or other link to description of cultivar,text,text,,EXPERIMENT,MANAGEMENT,GENOTYPES,,2021,0,,,,,,,3,,0,,,
id,2,id,,id,-1,1,id,,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,,,,,,1,-2,0,,,
soil_ID,7,SID,3,SID,0,,Unique soil identifier linking from SOIL_PROFILES,number,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,,,,,,1,-2,0,,,
field_level,11,FL,2,FL,1,,Field level identifier,number,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,.,,,,1,1,0,,,
field_id,8,ID_FIELD,8,ID_FIELD,2,,"Field, identifier usually consisting of institution+site+4 digit number",text,text,8,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,,,,,1,-2,0,,,
field_name,10,FL_NAME,7,FL_NAME,3,,Field name,text,text,31,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,Field name,FNAM,,,,1,,0,,,
field_country,14,FL_LOC_1,8,FL_LOC_1,5,,Name of country where field is located,text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,.,,,,1,,0,,,
field_sub_country,20,FL_LOC_2,8,FL_LOC_2,6,,"First political subdivision for field location (e.g., state, province, department)",text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,.,,,,1,,0,,,
field_sub_sub_country,24,FL_LOC_3,8,FL_LOC_3,7,,"Second political subdivision for field location (e.g, county)",text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,.,,,,1,,0,,,
field_latitude,14,FL_LAT,6,FL_LAT,11,,Field latitude,decimal_degrees,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,-80,80,,1,,2,2,,
field_longitude,15,FL_LONG,7,FL_LONG,12,,"Field longitude, E positive, W negative",decimal_degrees,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,-180,180,,1,,2,2,,
field_location_source,21,LOC_SOURCE,10,LOC_SOURCE,12,,"Source of field location data, indication of accuracy of FL_LAT and FL_LONG",text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,"2013-09-13, CHP",.,.,,,,1,,0,,,
field_geocoord_original,23,FL_GEOCOORD_ORIG,16,FL_GEOCOORD_ORIG,12,,Original geocoordinates as given in source as text,text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,"2017-03-17, JWW",,,,,,1,,0,,,
field_elevation,15,FLELE,5,FLELE,13,,Elevation of field site,m,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,-400,"5,000",,1,,1,1,,
field_landscape_position,24,FL_LAND,,FL_LAND,14,,"Landscape class of location (e.g., coastal)",code,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,"2013-02-07, JWW",.,.,,,,1,,0,,,
field_slope,11,FLSL,4,FLSL,15,,Field slope (from horizontal),percent,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,90,,1,,0,,,
field_slope_length,18,FLSLL,5,FLSLL,16,,Field slope length,m,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
field_slope_aspect,18,FLSLA,5,FLSLA,17,,"Field slope aspect, W, nW, etc.",text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
field_area,10,FAREA,5,FAREA,18,,Field area,m2,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
obstruction_to_sun,18,FLOB,4,FLOB,19,,Obstruction to sun,arc_degrees,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,90,,1,,0,,,
field_length_width_ratio,24,FLLWR,5,FLLWR,20,,Field length to width ratio,number,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,,,,1,,0,,,
field_plow_layer_depth,22,FL_PLOWD,8,FL_PLOWD,21,,Field plow layer depth,cm,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
field_plow_layer_compac,23,FL_PLOWDC,9,FL_PLOWDC,22,,Field plow layer compaction (0 to 1 scale),number,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,,,D,1,,0,,,
drainage_type,13,FL_DRNTYPE,10,FL_DRNTYPE,23,,"Drainage, type in field",code,text,5,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,,,,1,,0,,,
depth_to_drain,14,FLDRD,5,FLDRD,24,,"Drain, depth in field",cm,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
drain_spacing,13,FLDRS,5,FLDRS,25,,Drain spacing,m,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,.,0,,,1,,0,,,
drain_radius,12,FLDRAD,6,FLDRAD,26,,Drain radius,cm,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,,,,,,1,-1,,,,
weather_sta_identifier,22,WTH_SUBSET,10,WTH_SUBSET,31,,Subset name for a single weather station,code,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,.,WSTA,,,,1,-1,0,,,
weather_file,12,WTH_DATASET,11,WTH_DATASET,32,,Weather dataset containing relevant data,text,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,,,,,,1,-1,0,,,
wsta_distance,,WST_DIST,,WST_DIST,33,,Distance from weather station to field (m),m,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,,,,,,1,,0,,,
soil_identifier,15,SOIL_SUBSET,11,SOIL_SUBSET,41,,Soil identifier,code,text,5,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,.,ID_SOIL,,,,1,-1,0,,,
soil_file,9,SOIL_DATASET,12,SOIL_DATASET,42,,File containing relevant soil profile description,text,text,31,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,,,,,,1,-2,0,,,
water_table_depth,17,DTWT,4,DTWT,45,,Water table depth,cm,single,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,,Water table cm,.,0,,,1,-1,0,,,
field_notes,11,FL_NOTES,8,FL_NOTES,51,,"Field, short notes",text,text,40,EXPERIMENT,MANAGEMENT,FIELDS,,2031,0,,,,,,,1,,0,,,
field_soil_texture,18,FL_SLTX,7,FL_SLTX,46,,Field observed soil texture,code,text,,EXPERIMENT,MANAGEMENT,FIELDS,,2031,1,"2013-06-06, CHP",,,,,,1,,,,,
soil_analysis_date,18,SADAT,5,SADAT,-99,,Soil analysis date,date,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,1,"99,365",,1,-1,0,,,
id,,id,,id,0,1,id,,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,0,,,,,,,1,-2,0,,,
soil_analysis_level,19,SA,2,SA,1,,"Soil analysis, treatment level identifier",number,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,0,,,,,,,1,1,0,,,
soil_analysis_name,18,SA_NAME,7,SA_NAME,2,,Soil analysis name,text,text,31,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,0,,.,.,,,,1,-1,0,,,
soil_family_NRCS_system,23,NRCSFAM,7,NRCSFAM,3,,"Soil family, NRCS system",text,text,50,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,0,,.,.,,,,1,-1,0,,,
soil_analysis_year,18,SAYR,4,SAYR,4,,Soil analysis year,year,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
soil_analysis_day,17,SADAY,5,SADAY,5,,Soil analysis day of year or days after planting,day,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,0,366,,1,-1,0,,,
soil_analys_meth_pH_buff,24,SAMHB,5,SAMHB,6,,Soil anlysis method for pH in buffer solution,code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
soil_anal_meth_P_extract,24,SAMPX,5,SAMPX,7,,Soil analysis method for P extraction,code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
soil_anal_meth_exch_K,21,SAMKE,5,SAMKE,8,,Soil analysis method for exchangeable K,code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
soil_anal_meth_exch_Ca,,SAMCAE,,SAMCAE,,,"Soil analysis method for Calcium, exchangeable",code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,,,,,,1,-1,0,,,
soil_anal_meth_exch_Mg,,SAMMGE,,SAMMGE,,,"Soil analysis method for Magnesium, exchangeable",code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,,,,,,1,-1,0,,,
soil_anal_meth_extract_S,,SAMSE,,SAMSE,,,"Soil analysis method for Sulfur, extractable",code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,,,,,,1,-1,0,,,
soil_anal_meth_extract_Zn,,SAMZE,,SAMZE,,,"Soil analysis method for Zinc, extractable",code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,,,,,,1,-1,0,,,
soil_anal_meth_extract_B,,SAMBE,,SAMBE,,,"Soil analysis method for Boron, extractable",code,text,5,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,,,,,,1,-1,0,,,
drainage_rate_per_day,21,SADR,4,SADR,9,,Drainage rate as fraction per day,1/d,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
runoff_curve_no_SCS,19,SARO,4,SARO,10,,Runoff curve no. (Soil Conservation Service),number,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,,2041,1,,.,.,,,,1,-1,0,,,
id,,id,,id,0,1,id,,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,SOIL_ANALYSES_LAYERS,2042,0,,,,,,,1,-2,0,,,
soil_analysis_level,19,SA,2,SA,1,,"Soil analysis, treatment level identifier linkage ",number,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,SOIL_ANALYSES_LAYERS,2042,0,,,,,,,1,-2,0,,,
soil_analysis_layer_top_depth,29,SATL,4,SATL,2,,Soil layer depth to upper boundary of sample (top),cm,single,,EXPERIMENT,MANAGEMENT,SOIL_ANALYSES,SOIL_ANALYSES_LAYERS,2042,1,chp 2018-19-25,.,.,0,100,,1,-1,0,,,
